,id_,institution,post,domaine
45,11999,Compassion Health,Spécialiste des Communications,"Management/Gestion, Finance, Comptabilité et Commerce"
46,12000,Compassion Health,Responsable des Ressources Humaines,"Management/Gestion, Finance, Comptabilité et Commerce"
47,12001,Compassion Health,Responsable des Achats,"Management/Gestion, Finance, Comptabilité et Commerce"
48,12002,Compassion Health,Comptable de Projet,"Management/Gestion, Finance, Comptabilité et Commerce"
0,12005,Clinton Health Access Initiative,"Associate, Haiti National",Santé et Professions médicales
1,12024,BEST Project_USAID/LUMOS,Deputy Chief of Party,"Management/Gestion, Finance, Comptabilité et Commerce"
2,12042,RTI/GERE,Conseiller (ère) Technique Senior,Sciences économiques et politiques
3,11983,ISTEAH,Associé-e de recherche-développement en Agriculture D,Agriculture – Agroalimentaire
4,12038,Mercy Corps Haiti,Logistic Manager,"Management/Gestion, Finance, Comptabilité et Commerce"
5,12039,Mercy Corps Haiti,Officier d’approvisionnement,"Management/Gestion, Finance, Comptabilité et Commerce"
6,12035,Mercy Corps Haiti,Officier de Communication,Communication et Journalisme
7,12036,Mercy Corps Haiti,Manager de Program Adjoint Gestion de Risque de Désastre (GRD),"Management/Gestion, Finance, Comptabilité et Commerce"
8,12030,ICAP-Haiti,Finance & Administration Director,"Management/Gestion, Finance, Comptabilité et Commerce"
9,12031,LNSP / Projet TB / GF/ PSI,Techniciens de Laboratoire,Santé et Professions médicales
10,12009,PNUD Haiti,Republication: Chef de Projet Spotlight,"Management/Gestion, Finance, Comptabilité et Commerce"
11,12033,ZL/PIH,Finance Grant Manager,"Management/Gestion, Finance, Comptabilité et Commerce"
12,12034,ZL/PIH,Project Manager,Santé et Professions médicales
13,12023,CARE Haiti,Chargé.e d’appui au Chef de projet,Sciences Humaines et Sociales
14,12011,Solidarites International,Une (un) Coordinateur (trice) Financier(re),"Management/Gestion, Finance, Comptabilité et Commerce"
15,12012,Solidarites International,Une (un) Coordinatrice (teur) Ressources Humaines,"Management/Gestion, Finance, Comptabilité et Commerce"
16,12027,Concern Worldwide Haiti,Assistant(e) Bases de Données,Sciences Informatiques
17,12008,INCAH,Responsable Administratif et Financier,"Management/Gestion, Finance, Comptabilité et Commerce"
18,11966,PNUD Haiti,Head of Solutions Mapping,"Management/Gestion, Finance, Comptabilité et Commerce"
19,11967,PNUD Haiti,Head of Exploration,"Management/Gestion, Finance, Comptabilité et Commerce"
20,11968,PNUD Haiti,Head of Experimentation,"Management/Gestion, Finance, Comptabilité et Commerce"
21,12026,FNUAP,Responsable des Médias Sociaux,Communication et Journalisme
22,12017,FAO,Chargé des Opérations,Agriculture – Agroalimentaire
23,12029,AVSF,Technicien en tracabilité,Agriculture – Agroalimentaire
24,11986,GRET Haiti,Responsable de volet Périmètres irrigués,Agriculture – Agroalimentaire
25,11990,PPSELD,Commercial and Customer Service Manager,Sciences de l’Ingénieur
26,11988,BRH,Administrateur Réseau Senior,Sciences Informatiques
27,11989,BRH,Analyste/ Cybersécurité,Sciences Informatiques
28,12010,GHSC-PSM,Human Resources Manager,"Management/Gestion, Finance, Comptabilité et Commerce"
29,12018,PNUD Haiti,Chargé (e) des Affaires Humanitaires/OCHA - Republication,Sciences économiques et politiques
30,11987,BEST Project_USAID/LUMOS,"Monitoring, Evaluation and Research Coordinator",Sciences Humaines et Sociales
31,12004,Entrepreneurs du Monde/Palmis Mikwofinans Sosyal,Directeur d'agence,"Management/Gestion, Finance, Comptabilité et Commerce"
32,11975,PNUD Haiti,Associé(e) National(e) des Affaires Humanitaires /OCHA,Sciences économiques et politiques
33,11979,FAO,Spécialiste en « Communication Sensible au Genre»,Sciences Humaines et Sociales
34,11969,PNUD Haiti,Assistant RH,"Management/Gestion, Finance, Comptabilité et Commerce"
35,11964,FAO,Consultant Suivi et Evaluation,Sciences économiques et politiques
36,11972,ISTEAH,Technicien - TIC,Sciences Informatiques
37,11991,Compassion Health,Spécialiste des Soins Cliniques,Santé et Professions médicales
38,11992,Compassion Health,Facilitateur de Conception Centrée sur l'Humain / Communautés de Pratique,Santé et Professions médicales
39,11993,Compassion Health,Développeur de Systèmes d'Information sur la Gestion de la Santé,Santé et Professions médicales
40,11994,Compassion Health,Lead - Amélioration Continue de la Qualité/Recherche de Données et Utilisation de l'Information,Santé et Professions médicales
41,11995,Compassion Health,Spécialistes en Information Stratégique / Suivi et Évaluation,Sciences économiques et politiques
42,11996,Compassion Health,Spécialiste en Soins Pharmaceutiques,Santé et Professions médicales
43,11997,Compassion Health,Directeur de Projet - IPCOS,Santé et Professions médicales
44,11998,Compassion Health,Spécialiste en Gestion des Subventions,"Management/Gestion, Finance, Comptabilité et Commerce"
45,11999,Compassion Health,Spécialiste des Communications,"Management/Gestion, Finance, Comptabilité et Commerce"
46,12000,Compassion Health,Responsable des Ressources Humaines,"Management/Gestion, Finance, Comptabilité et Commerce"
47,12001,Compassion Health,Responsable des Achats,"Management/Gestion, Finance, Comptabilité et Commerce"
48,12002,Compassion Health,Comptable de Projet,"Management/Gestion, Finance, Comptabilité et Commerce"
0,11927,Mercy Corps Haiti,Senior Operation Manager,"Management/Gestion, Finance, Comptabilité et Commerce"
1,11920,COOPI,Expert en Genre et Gestion des Risques et des Désastres,Sciences Humaines et Sociales
2,11926,DAI/WASH,Contractuel en ingénierie sociale et en communication,Sciences de l’Ingénieur
3,11912,PNUD Haiti,Electricien,- - Non-defini - -
4,11924,UCMIT/UCP,Technicien en droits humains et soutien aux PVVIH,Sciences Humaines et Sociales
5,11925,Mercy Corps Haiti,Gender Advisor,Sciences Humaines et Sociales
6,11908,HELP,Citizenship & Leadership Program Manager (C&LPM),Sciences de l’Education
7,11890,J/P HRO,Spécialiste en Passation de Marchés,"Architecture, Urbanisme et Aménagement du territoire"
8,11921,J/P HRO,Administrative Assistant & Ressources Humaines,"Management/Gestion, Finance, Comptabilité et Commerce"
9,11922,J/P HRO,Officier Suivi & Evaluation & IT,Sciences Informatiques
10,11923,J/P HRO,Officier de Sécurité / Chauffeur,Sécurité
11,11919,CDS,Médecin Coordonnateur,Santé et Professions médicales
12,11917,CNFA,Chauffeur,Transport et Logistique
13,11913,CNFA,Conseiller (ere) en financement agricole,"Management/Gestion, Finance, Comptabilité et Commerce"
14,11914,CNFA,Conseiller(ere) en entrepreneuriat et chaînes de valeur,Agriculture – Agroalimentaire
15,11915,CNFA,Agent(e) comptable et administratif,"Management/Gestion, Finance, Comptabilité et Commerce"
16,11916,CNFA,Agent (e) à la logistique,"Management/Gestion, Finance, Comptabilité et Commerce"
17,11911,PNUD Haiti,"Chargé (e) de Coordination, partenariats et financement du developpement/Republication",Sciences économiques et politiques
18,11909,FAO,Technicien agricole,Agriculture – Agroalimentaire
19,11910,FAO,Spécialiste pour une analyse sur l’état des lieux des politiques / Changement climatique,- - Non-defini - -
20,11907,Fondation Serovie,Officier de Prévention sur les Populations Clés et les Jeunes,Santé et Professions médicales
21,11906,AISFH,Chauffeur,Transport et Logistique
22,11899,FAES,Ingénieur Civil,Métiers du bâtiment et autres
23,11900,FAES,Ingénieur Rural,Agriculture – Agroalimentaire
24,11901,FAES,Chargé de projet Incubation Entrepreneuriale,- - Non-defini - -
25,11849,"Quala Dominicana, S.A.",Analista de Gestión Contable,"Management/Gestion, Finance, Comptabilité et Commerce"
26,11850,"Quala Dominicana, S.A.",Ingeniero de Mejoramiento,Sciences de l’Ingénieur
27,11851,"Quala Dominicana, S.A.",Supervisor de Seguridad,Sécurité
28,11886,HAS,Chef de Service - Physioterapie,Santé et Professions médicales
29,11889,CRS,MEAL Officer,Sciences économiques et politiques
30,11895,Fondation Serovie,Conseiller Technique en Prévention du VIH et Testing,Santé et Professions médicales
31,11892,Fondation Serovie,Coordonnateur Régional,Santé et Professions médicales
32,11898,Fondation Serovie,Travailleur Social,Santé et Professions médicales
33,11888,Good Neighbors International,SSD Junior Officer,Sciences Humaines et Sociales
34,11884,AISFH,Sages-Femmes – opératrices de centre d’appel,Santé et Professions médicales
35,11885,AISFH,Sage-Femme – Superviseure du centre d’appel « Allo périnatal »,Santé et Professions médicales
36,11877,NGO RH,Animateur.trice Social.e,Sciences Humaines et Sociales
37,11878,Secteur ong,Tech Lead Santé Maternelle et planification familiale,Santé et Professions médicales
38,11881,NGO RH,Coordonnateur-trice de Suivi Évaluation,Sciences économiques et politiques
39,11882,Secteur ong,Coordonnatrice PF,Santé et Professions médicales
40,11893,Solidarites International,Responsable Programme EHA (Port-au-Prince),"Management/Gestion, Finance, Comptabilité et Commerce"
41,11894,Solidarites International,Responsable Programme EHA (Anse d'Hainault),"Management/Gestion, Finance, Comptabilité et Commerce"
42,11897,LNSP / Projet TB / GF/ PSI,Technologiste Médical,Santé et Professions médicales
43,11891,Solidarites International,Responsable Securité Alimentaire et Nutritionnelle,Agriculture – Agroalimentaire
44,11826,ICAP-Haiti,Technical Director,Santé et Professions médicales
45,11827,ICAP-Haiti,"Project Community Coordinator, Prevention and Retention",Santé et Professions médicales
46,11828,ICAP-Haiti,Technical Advisor,Santé et Professions médicales
47,11845,ICAP-Haiti,Senior M&E Advisor,Santé et Professions médicales
48,11871,Oxfam,Responsable Programmatique Droit des Femmes et Justice de Genre,Sciences Humaines et Sociales
0,11904,Action Contre la Faim - Haïti,Superviseur Volet Cash & Vouchers et Agriculture,- - Non-defini - -
1,11905,Action Contre la Faim - Haïti,Chargé Volet Renforcement Partenariat Local,"Management/Gestion, Finance, Comptabilité et Commerce"
2,11887,ZL/PIH,Research Assistant Nurse for Non Communicable Diseases (NCD),Santé et Professions médicales
3,11883,PNUD Haiti,Commis administratif et logistique,Sécurité
4,11873,DELR,Controleur Interne,"Management/Gestion, Finance, Comptabilité et Commerce"
5,11874,DELR,Statisticien,Sciences économiques et politiques
6,11875,DELR,Logisticien,"Management/Gestion, Finance, Comptabilité et Commerce"
7,11876,DELR,Épidémiologiste,Santé et Professions médicales
8,11861,CDS,Infirmière Sage-Femmes,Santé et Professions médicales
9,11853,CRS,Gestionnaire du Projet I: Projet Apprentissage Socio-Emotionnel (ASE),Sciences de l’Education
10,11854,CRS,Agent de Vulgarisation,Agriculture – Agroalimentaire
11,11852,CDS,Assistant (e) Administratif (ve),"Management/Gestion, Finance, Comptabilité et Commerce"
12,11858,GADEL,Technicien Agricole,Agriculture – Agroalimentaire
13,11859,GADEL,Technicien vétérinaire,Agriculture – Agroalimentaire
14,11864,Save the Children en Haiti,Assistant aux Ressources Humaines et à l’Administration,"Management/Gestion, Finance, Comptabilité et Commerce"
15,11862,Croix Rouge Espagnole,Responsable Moyens d’Existence,Agriculture – Agroalimentaire
16,11863,Secteur international,Informaticien,Sciences Informatiques
17,11865,Save the Children en Haiti,Officier d’engagement communautaire,Sciences Humaines et Sociales
18,11869,Plan International-Haiti,Grants & Capacity Development Officer,"Management/Gestion, Finance, Comptabilité et Commerce"
19,11870,Plan International-Haiti,Project Coordinator,"Management/Gestion, Finance, Comptabilité et Commerce"
20,11846,Ayiti Air Anbilans,Chef Administrateur,"Management/Gestion, Finance, Comptabilité et Commerce"
21,11844,Concern Worldwide Haiti,Enquêteurs (trices),- - Non-defini - -
22,11855,Plan International-Haiti,Logistics Assistant,"Management/Gestion, Finance, Comptabilité et Commerce"
23,11824,CI,Security Specialist III,- - Non-defini - -
24,11860,Ropanip,Administrateur/trice comptable,Agriculture – Agroalimentaire
25,11834,DAI,Conseiller en Activité de Sécurité Alimentaire et de Résilience,Agriculture – Agroalimentaire
26,11840,Save the Children en Haiti,Finance Manager,"Management/Gestion, Finance, Comptabilité et Commerce"
27,11841,Save the Children en Haiti,Officier MEAL,Sciences économiques et politiques
28,11835,Pwoje Espwa Sud,Travailleur Social,Sciences Humaines et Sociales
29,11814,HAA,Dispatcher/Communications Specialist,Transport et Logistique
30,11837,Secteur international,Responsable de planification,Transport et Logistique
31,11804,Brasserie de la Couronne S.A.,Agent Commercial,Marketing
32,11809,Brasserie de la Couronne S.A.,Chauffeur Camion / Trailer,Transport et Logistique
33,11836,Chemonics/JSPP,Assistant Comptable,"Management/Gestion, Finance, Comptabilité et Commerce"
34,11803,DHL International S.A.,Senior Finance Manager,"Management/Gestion, Finance, Comptabilité et Commerce"
35,11815,Heifer Haiti,Agronome Spécialiste,Agriculture – Agroalimentaire
36,11832,CECI,Un-e (1) Comptable de projets,"Management/Gestion, Finance, Comptabilité et Commerce"
37,11830,Secteur ong,Senior Accountant,"Management/Gestion, Finance, Comptabilité et Commerce"
38,11767,Save the Children en Haiti,Gestionnaire du Projet OSCAL VBG,"Management/Gestion, Finance, Comptabilité et Commerce"
39,11838,PNUD Haiti,Associé (e) National(e) des Affaires Humanitaires /OCHA - 2 positions,Sciences économiques et politiques
40,11839,PNUD Haiti,Chargé (e) des Affaires Humanitaires/OCHA - Republication,Sciences économiques et politiques
41,11731,CRS,Gestionnaire du Programmes I,Sciences de l’Education
42,11806,NCBA CLUSA,Spécialiste en gestion de campagnes marketing,Marketing
43,11807,NCBA CLUSA,Mobilisateurs/Mobilisatrices Communautaires,Agriculture – Agroalimentaire
44,11792,DAI/WASH,Software Development Specialist,Sciences Informatiques
45,11833,CDS,Data Reporting Officer (DRO),Santé et Professions médicales
