,id_,institution,post,domaine
88,12040,Secteur prive,Responsable Contrôle Interne,"Management/Gestion, Finance, Comptabilité et Commerce"
89,12078,UTE/MEF,"Officier de Communication du Service Environnement, Santé, Sureté et Social (ESSS) du Parc Industrie",Communication et Journalisme
90,12075,NGO RH,Conseiller(e) en Planification familiale,Santé et Professions médicales
91,12037,Secteur ong,Monitoring & Evaluation officer,- - Non-defini - -
92,12090,Plan International-Haiti,Grants Management Coordinator-Maternity Cover,"Management/Gestion, Finance, Comptabilité et Commerce"
93,12087,Global Communities - (formerly CHF),Comptable Senior,"Management/Gestion, Finance, Comptabilité et Commerce"
94,12066,Concern Worldwide Haiti,Agent de terrain,Sciences économiques et politiques
95,12067,Concern Worldwide Haiti,Chargé (e) de Programme Nutrition,Sciences Humaines et Sociales
96,12069,Concern Worldwide Haiti,Chargé (e) de Programme Marchés,Sciences Humaines et Sociales
97,12070,Concern Worldwide Haiti,Chargé (e) de Programme Sécurité Alimentaire et Moyens d’Existence (SAME),Sciences Humaines et Sociales
98,12119,Solidarites International,Responsable Programme EHA (Port-au-Prince),"Management/Gestion, Finance, Comptabilité et Commerce"
99,12129,Concern Worldwide Haiti,Chargé de Programme Transfert Monétaire,Sciences Humaines et Sociales
100,12127,MDM Canada,Responsable Logistique et Sécurité,Transport et Logistique
101,12135,Plan International-Haiti,M&E Assistant,"Management/Gestion, Finance, Comptabilité et Commerce"
102,12123,MSH,Assistante Administrative,Secrétariat
103,12124,MSH,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce"
104,12120,MSH,Health and Community Engagement Specialist (Full-Time Consutant),Santé et Professions médicales
105,12085,Secteur prive,Gestionnaire de Stock,"Management/Gestion, Finance, Comptabilité et Commerce"
106,12118,Caris Foundation International,HIV Technical Lead,Santé et Professions médicales
107,12128,FONKOZE,Koòdinatè AKSYON pou pwodiksyon riral,Agriculture – Agroalimentaire
108,12114,Caris Foundation International,Digital Media Specialist,Communication et Journalisme
109,12101,MDM Canada,Coordonnateur Technique,"Management/Gestion, Finance, Comptabilité et Commerce"
110,12121,Habitat pour l'humanite Haiti,Lead Infrastructure Retrofit and Coordinator,"Architecture, Urbanisme et Aménagement du territoire"
111,12115,Caris Foundation International,Child Health Regional Technical Lead,Santé et Professions médicales
112,12116,Caris Foundation International,Maternal Health Regional Technical Lead,Santé et Professions médicales
113,12105,GOAL Haiti,Resilience Partnership and Learning Manager,Environnement et Sciences de la Terre
114,12106,GOAL Haiti,Infrastructures Manager,Sciences de l’Ingénieur
115,12107,PPSELD,Administrative Advisor,"Management/Gestion, Finance, Comptabilité et Commerce"
116,12103,PNUD Haiti,Assistant (e) Administratif (ve)/RCO,Secrétariat
117,12080,Secteur prive,Assistant Comptable Analytique,"Management/Gestion, Finance, Comptabilité et Commerce"
118,12077,Secteur ong,Software Developer,- - Non-defini - -
119,12117,Plan International-Haiti,Nutrition Officer,Santé et Professions médicales
120,12109,FEJ,Coordonnateur (trice),Sciences de l’Education
121,12110,FEJ,Ingénieur en batiment,"Architecture, Urbanisme et Aménagement du territoire"
122,12108,Expertise France,Inspecteurs en bâtiments (H/F),"Architecture, Urbanisme et Aménagement du territoire"
123,12091,HAS,Pharmacien/ne,Santé et Professions médicales
124,12111,Habitat pour l'humanite Haiti,Ingenieur de Terrain,"Architecture, Urbanisme et Aménagement du territoire"
125,12112,Habitat pour l'humanite Haiti,Mobilisateur Communautaire,Sciences Humaines et Sociales
126,12086,Plan International-Haiti,Country Finance Manager,"Management/Gestion, Finance, Comptabilité et Commerce"
127,12054,Secteur prive,Brand Manager,Marketing
128,12102,CCM HAITI,Assistante Administrative,"Management/Gestion, Finance, Comptabilité et Commerce"
129,12097,UTE/MEF,Consultant individuel,Sciences de l’Ingénieur
130,12088,Netherlands Red Cross,Agronome Terrain,Agriculture – Agroalimentaire
131,12089,Save the Children en Haiti,Coordonateur (trice) du Programme d’Urgence dans le Sud et la Grand’Anse,"Management/Gestion, Finance, Comptabilité et Commerce"
132,12082,WeltHungerHilfe (Agro Action Allemande),Agent Administratif,"Management/Gestion, Finance, Comptabilité et Commerce"
133,12083,WeltHungerHilfe (Agro Action Allemande),Coordonnateur de terrain,Agriculture – Agroalimentaire
134,12099,Fondation Serovie,Développeur de site web et d'application mobile,Sciences Informatiques
135,12098,Secteur prive,Directrice Exécutive,"Management/Gestion, Finance, Comptabilité et Commerce"
136,12093,FHI/Humanité & Inclusion_ HI,Agent de liaison sécurité,Sécurité
137,12040,Secteur prive,Responsable Contrôle Interne,"Management/Gestion, Finance, Comptabilité et Commerce"
138,12078,UTE/MEF,"Officier de Communication du Service Environnement, Santé, Sureté et Social (ESSS) du Parc Industrie",Communication et Journalisme
139,12075,NGO RH,Conseiller(e) en Planification familiale,Santé et Professions médicales
140,12037,Secteur ong,Monitoring & Evaluation officer,- - Non-defini - -
141,12090,Plan International-Haiti,Grants Management Coordinator-Maternity Cover,"Management/Gestion, Finance, Comptabilité et Commerce"
142,12087,Global Communities - (formerly CHF),Comptable Senior,"Management/Gestion, Finance, Comptabilité et Commerce"
143,12066,Concern Worldwide Haiti,Agent de terrain,Sciences économiques et politiques
144,12067,Concern Worldwide Haiti,Chargé (e) de Programme Nutrition,Sciences Humaines et Sociales
145,12069,Concern Worldwide Haiti,Chargé (e) de Programme Marchés,Sciences Humaines et Sociales
146,12070,Concern Worldwide Haiti,Chargé (e) de Programme Sécurité Alimentaire et Moyens d’Existence (SAME),Sciences Humaines et Sociales
147,12119,Solidarites International,Responsable Programme EHA (Port-au-Prince),"Management/Gestion, Finance, Comptabilité et Commerce"
148,12129,Concern Worldwide Haiti,Chargé de Programme Transfert Monétaire,Sciences Humaines et Sociales
149,12127,MDM Canada,Responsable Logistique et Sécurité,Transport et Logistique
150,12135,Plan International-Haiti,M&E Assistant,"Management/Gestion, Finance, Comptabilité et Commerce"
151,12123,MSH,Assistante Administrative,Secrétariat
152,12124,MSH,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce"
153,12120,MSH,Health and Community Engagement Specialist (Full-Time Consutant),Santé et Professions médicales
154,12085,Secteur prive,Gestionnaire de Stock,"Management/Gestion, Finance, Comptabilité et Commerce"
155,12118,Caris Foundation International,HIV Technical Lead,Santé et Professions médicales
156,12128,FONKOZE,Koòdinatè AKSYON pou pwodiksyon riral,Agriculture – Agroalimentaire
157,12114,Caris Foundation International,Digital Media Specialist,Communication et Journalisme
158,12101,MDM Canada,Coordonnateur Technique,"Management/Gestion, Finance, Comptabilité et Commerce"
159,12121,Habitat pour l'humanite Haiti,Lead Infrastructure Retrofit and Coordinator,"Architecture, Urbanisme et Aménagement du territoire"
160,12115,Caris Foundation International,Child Health Regional Technical Lead,Santé et Professions médicales
161,12116,Caris Foundation International,Maternal Health Regional Technical Lead,Santé et Professions médicales
162,12105,GOAL Haiti,Resilience Partnership and Learning Manager,Environnement et Sciences de la Terre
163,12106,GOAL Haiti,Infrastructures Manager,Sciences de l’Ingénieur
164,12107,PPSELD,Administrative Advisor,"Management/Gestion, Finance, Comptabilité et Commerce"
165,12103,PNUD Haiti,Assistant (e) Administratif (ve)/RCO,Secrétariat
166,12080,Secteur prive,Assistant Comptable Analytique,"Management/Gestion, Finance, Comptabilité et Commerce"
167,12077,Secteur ong,Software Developer,- - Non-defini - -
168,12117,Plan International-Haiti,Nutrition Officer,Santé et Professions médicales
169,12109,FEJ,Coordonnateur (trice),Sciences de l’Education
170,12110,FEJ,Ingénieur en batiment,"Architecture, Urbanisme et Aménagement du territoire"
171,12108,Expertise France,Inspecteurs en bâtiments (H/F),"Architecture, Urbanisme et Aménagement du territoire"
172,12091,HAS,Pharmacien/ne,Santé et Professions médicales
173,12111,Habitat pour l'humanite Haiti,Ingenieur de Terrain,"Architecture, Urbanisme et Aménagement du territoire"
174,12112,Habitat pour l'humanite Haiti,Mobilisateur Communautaire,Sciences Humaines et Sociales
175,12086,Plan International-Haiti,Country Finance Manager,"Management/Gestion, Finance, Comptabilité et Commerce"
176,12054,Secteur prive,Brand Manager,Marketing
177,12102,CCM HAITI,Assistante Administrative,"Management/Gestion, Finance, Comptabilité et Commerce"
178,12097,UTE/MEF,Consultant individuel,Sciences de l’Ingénieur
179,12088,Netherlands Red Cross,Agronome Terrain,Agriculture – Agroalimentaire
180,12089,Save the Children en Haiti,Coordonateur (trice) du Programme d’Urgence dans le Sud et la Grand’Anse,"Management/Gestion, Finance, Comptabilité et Commerce"
181,12082,WeltHungerHilfe (Agro Action Allemande),Agent Administratif,"Management/Gestion, Finance, Comptabilité et Commerce"
182,12083,WeltHungerHilfe (Agro Action Allemande),Coordonnateur de terrain,Agriculture – Agroalimentaire
183,12099,Fondation Serovie,Développeur de site web et d'application mobile,Sciences Informatiques
184,12098,Secteur prive,Directrice Exécutive,"Management/Gestion, Finance, Comptabilité et Commerce"
185,12093,FHI/Humanité & Inclusion_ HI,Agent de liaison sécurité,Sécurité
186,12040,Secteur prive,Responsable Contrôle Interne,"Management/Gestion, Finance, Comptabilité et Commerce"
187,12078,UTE/MEF,"Officier de Communication du Service Environnement, Santé, Sureté et Social (ESSS) du Parc Industrie",Communication et Journalisme
188,12075,NGO RH,Conseiller(e) en Planification familiale,Santé et Professions médicales
189,12037,Secteur ong,Monitoring & Evaluation officer,- - Non-defini - -
190,12090,Plan International-Haiti,Grants Management Coordinator-Maternity Cover,"Management/Gestion, Finance, Comptabilité et Commerce"
191,12087,Global Communities - (formerly CHF),Comptable Senior,"Management/Gestion, Finance, Comptabilité et Commerce"
192,12066,Concern Worldwide Haiti,Agent de terrain,Sciences économiques et politiques
193,12067,Concern Worldwide Haiti,Chargé (e) de Programme Nutrition,Sciences Humaines et Sociales
194,12069,Concern Worldwide Haiti,Chargé (e) de Programme Marchés,Sciences Humaines et Sociales
195,12070,Concern Worldwide Haiti,Chargé (e) de Programme Sécurité Alimentaire et Moyens d’Existence (SAME),Sciences Humaines et Sociales
196,12119,Solidarites International,Responsable Programme EHA (Port-au-Prince),"Management/Gestion, Finance, Comptabilité et Commerce"
197,12129,Concern Worldwide Haiti,Chargé de Programme Transfert Monétaire,Sciences Humaines et Sociales
198,12127,MDM Canada,Responsable Logistique et Sécurité,Transport et Logistique
199,12135,Plan International-Haiti,M&E Assistant,"Management/Gestion, Finance, Comptabilité et Commerce"
200,12123,MSH,Assistante Administrative,Secrétariat
201,12124,MSH,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce"
202,12120,MSH,Health and Community Engagement Specialist (Full-Time Consutant),Santé et Professions médicales
203,12085,Secteur prive,Gestionnaire de Stock,"Management/Gestion, Finance, Comptabilité et Commerce"
204,12118,Caris Foundation International,HIV Technical Lead,Santé et Professions médicales
205,12128,FONKOZE,Koòdinatè AKSYON pou pwodiksyon riral,Agriculture – Agroalimentaire
206,12114,Caris Foundation International,Digital Media Specialist,Communication et Journalisme
207,12101,MDM Canada,Coordonnateur Technique,"Management/Gestion, Finance, Comptabilité et Commerce"
208,12121,Habitat pour l'humanite Haiti,Lead Infrastructure Retrofit and Coordinator,"Architecture, Urbanisme et Aménagement du territoire"
209,12115,Caris Foundation International,Child Health Regional Technical Lead,Santé et Professions médicales
210,12116,Caris Foundation International,Maternal Health Regional Technical Lead,Santé et Professions médicales
211,12105,GOAL Haiti,Resilience Partnership and Learning Manager,Environnement et Sciences de la Terre
212,12106,GOAL Haiti,Infrastructures Manager,Sciences de l’Ingénieur
213,12107,PPSELD,Administrative Advisor,"Management/Gestion, Finance, Comptabilité et Commerce"
214,12103,PNUD Haiti,Assistant (e) Administratif (ve)/RCO,Secrétariat
215,12080,Secteur prive,Assistant Comptable Analytique,"Management/Gestion, Finance, Comptabilité et Commerce"
216,12077,Secteur ong,Software Developer,- - Non-defini - -
217,12117,Plan International-Haiti,Nutrition Officer,Santé et Professions médicales
218,12109,FEJ,Coordonnateur (trice),Sciences de l’Education
219,12110,FEJ,Ingénieur en batiment,"Architecture, Urbanisme et Aménagement du territoire"
220,12108,Expertise France,Inspecteurs en bâtiments (H/F),"Architecture, Urbanisme et Aménagement du territoire"
221,12091,HAS,Pharmacien/ne,Santé et Professions médicales
222,12111,Habitat pour l'humanite Haiti,Ingenieur de Terrain,"Architecture, Urbanisme et Aménagement du territoire"
223,12112,Habitat pour l'humanite Haiti,Mobilisateur Communautaire,Sciences Humaines et Sociales
224,12086,Plan International-Haiti,Country Finance Manager,"Management/Gestion, Finance, Comptabilité et Commerce"
225,12054,Secteur prive,Brand Manager,Marketing
226,12102,CCM HAITI,Assistante Administrative,"Management/Gestion, Finance, Comptabilité et Commerce"
227,12097,UTE/MEF,Consultant individuel,Sciences de l’Ingénieur
228,12088,Netherlands Red Cross,Agronome Terrain,Agriculture – Agroalimentaire
229,12089,Save the Children en Haiti,Coordonateur (trice) du Programme d’Urgence dans le Sud et la Grand’Anse,"Management/Gestion, Finance, Comptabilité et Commerce"
230,12082,WeltHungerHilfe (Agro Action Allemande),Agent Administratif,"Management/Gestion, Finance, Comptabilité et Commerce"
231,12083,WeltHungerHilfe (Agro Action Allemande),Coordonnateur de terrain,Agriculture – Agroalimentaire
232,12099,Fondation Serovie,Développeur de site web et d'application mobile,Sciences Informatiques
233,12098,Secteur prive,Directrice Exécutive,"Management/Gestion, Finance, Comptabilité et Commerce"
234,12093,FHI/Humanité & Inclusion_ HI,Agent de liaison sécurité,Sécurité
235,12040,Secteur prive,Responsable Contrôle Interne,"Management/Gestion, Finance, Comptabilité et Commerce"
236,12078,UTE/MEF,"Officier de Communication du Service Environnement, Santé, Sureté et Social (ESSS) du Parc Industrie",Communication et Journalisme
237,12075,NGO RH,Conseiller(e) en Planification familiale,Santé et Professions médicales
238,12037,Secteur ong,Monitoring & Evaluation officer,- - Non-defini - -
239,12090,Plan International-Haiti,Grants Management Coordinator-Maternity Cover,"Management/Gestion, Finance, Comptabilité et Commerce"
240,12087,Global Communities - (formerly CHF),Comptable Senior,"Management/Gestion, Finance, Comptabilité et Commerce"
241,12066,Concern Worldwide Haiti,Agent de terrain,Sciences économiques et politiques
242,12067,Concern Worldwide Haiti,Chargé (e) de Programme Nutrition,Sciences Humaines et Sociales
243,12069,Concern Worldwide Haiti,Chargé (e) de Programme Marchés,Sciences Humaines et Sociales
244,12070,Concern Worldwide Haiti,Chargé (e) de Programme Sécurité Alimentaire et Moyens d’Existence (SAME),Sciences Humaines et Sociales
245,12119,Solidarites International,Responsable Programme EHA (Port-au-Prince),"Management/Gestion, Finance, Comptabilité et Commerce"
246,12129,Concern Worldwide Haiti,Chargé de Programme Transfert Monétaire,Sciences Humaines et Sociales
247,12127,MDM Canada,Responsable Logistique et Sécurité,Transport et Logistique
248,12135,Plan International-Haiti,M&E Assistant,"Management/Gestion, Finance, Comptabilité et Commerce"
249,12123,MSH,Assistante Administrative,Secrétariat
250,12124,MSH,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce"
251,12120,MSH,Health and Community Engagement Specialist (Full-Time Consutant),Santé et Professions médicales
252,12085,Secteur prive,Gestionnaire de Stock,"Management/Gestion, Finance, Comptabilité et Commerce"
253,12118,Caris Foundation International,HIV Technical Lead,Santé et Professions médicales
254,12128,FONKOZE,Koòdinatè AKSYON pou pwodiksyon riral,Agriculture – Agroalimentaire
255,12114,Caris Foundation International,Digital Media Specialist,Communication et Journalisme
256,12101,MDM Canada,Coordonnateur Technique,"Management/Gestion, Finance, Comptabilité et Commerce"
257,12121,Habitat pour l'humanite Haiti,Lead Infrastructure Retrofit and Coordinator,"Architecture, Urbanisme et Aménagement du territoire"
258,12115,Caris Foundation International,Child Health Regional Technical Lead,Santé et Professions médicales
259,12116,Caris Foundation International,Maternal Health Regional Technical Lead,Santé et Professions médicales
260,12105,GOAL Haiti,Resilience Partnership and Learning Manager,Environnement et Sciences de la Terre
261,12106,GOAL Haiti,Infrastructures Manager,Sciences de l’Ingénieur
262,12107,PPSELD,Administrative Advisor,"Management/Gestion, Finance, Comptabilité et Commerce"
263,12103,PNUD Haiti,Assistant (e) Administratif (ve)/RCO,Secrétariat
264,12080,Secteur prive,Assistant Comptable Analytique,"Management/Gestion, Finance, Comptabilité et Commerce"
265,12077,Secteur ong,Software Developer,- - Non-defini - -
266,12117,Plan International-Haiti,Nutrition Officer,Santé et Professions médicales
267,12109,FEJ,Coordonnateur (trice),Sciences de l’Education
268,12110,FEJ,Ingénieur en batiment,"Architecture, Urbanisme et Aménagement du territoire"
269,12108,Expertise France,Inspecteurs en bâtiments (H/F),"Architecture, Urbanisme et Aménagement du territoire"
270,12091,HAS,Pharmacien/ne,Santé et Professions médicales
271,12111,Habitat pour l'humanite Haiti,Ingenieur de Terrain,"Architecture, Urbanisme et Aménagement du territoire"
272,12112,Habitat pour l'humanite Haiti,Mobilisateur Communautaire,Sciences Humaines et Sociales
273,12086,Plan International-Haiti,Country Finance Manager,"Management/Gestion, Finance, Comptabilité et Commerce"
274,12054,Secteur prive,Brand Manager,Marketing
275,12102,CCM HAITI,Assistante Administrative,"Management/Gestion, Finance, Comptabilité et Commerce"
276,12097,UTE/MEF,Consultant individuel,Sciences de l’Ingénieur
277,12088,Netherlands Red Cross,Agronome Terrain,Agriculture – Agroalimentaire
278,12089,Save the Children en Haiti,Coordonateur (trice) du Programme d’Urgence dans le Sud et la Grand’Anse,"Management/Gestion, Finance, Comptabilité et Commerce"
279,12082,WeltHungerHilfe (Agro Action Allemande),Agent Administratif,"Management/Gestion, Finance, Comptabilité et Commerce"
280,12083,WeltHungerHilfe (Agro Action Allemande),Coordonnateur de terrain,Agriculture – Agroalimentaire
281,12099,Fondation Serovie,Développeur de site web et d'application mobile,Sciences Informatiques
282,12098,Secteur prive,Directrice Exécutive,"Management/Gestion, Finance, Comptabilité et Commerce"
283,12093,FHI/Humanité & Inclusion_ HI,Agent de liaison sécurité,Sécurité
284,12040,Secteur prive,Responsable Contrôle Interne,"Management/Gestion, Finance, Comptabilité et Commerce"
285,12078,UTE/MEF,"Officier de Communication du Service Environnement, Santé, Sureté et Social (ESSS) du Parc Industrie",Communication et Journalisme
286,12075,NGO RH,Conseiller(e) en Planification familiale,Santé et Professions médicales
287,12037,Secteur ong,Monitoring & Evaluation officer,- - Non-defini - -
288,12090,Plan International-Haiti,Grants Management Coordinator-Maternity Cover,"Management/Gestion, Finance, Comptabilité et Commerce"
289,12087,Global Communities - (formerly CHF),Comptable Senior,"Management/Gestion, Finance, Comptabilité et Commerce"
290,12066,Concern Worldwide Haiti,Agent de terrain,Sciences économiques et politiques
291,12067,Concern Worldwide Haiti,Chargé (e) de Programme Nutrition,Sciences Humaines et Sociales
292,12069,Concern Worldwide Haiti,Chargé (e) de Programme Marchés,Sciences Humaines et Sociales
293,12070,Concern Worldwide Haiti,Chargé (e) de Programme Sécurité Alimentaire et Moyens d’Existence (SAME),Sciences Humaines et Sociales
294,12119,Solidarites International,Responsable Programme EHA (Port-au-Prince),"Management/Gestion, Finance, Comptabilité et Commerce"
295,12129,Concern Worldwide Haiti,Chargé de Programme Transfert Monétaire,Sciences Humaines et Sociales
296,12127,MDM Canada,Responsable Logistique et Sécurité,Transport et Logistique
297,12135,Plan International-Haiti,M&E Assistant,"Management/Gestion, Finance, Comptabilité et Commerce"
298,12123,MSH,Assistante Administrative,Secrétariat
299,12124,MSH,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce"
300,12120,MSH,Health and Community Engagement Specialist (Full-Time Consutant),Santé et Professions médicales
301,12085,Secteur prive,Gestionnaire de Stock,"Management/Gestion, Finance, Comptabilité et Commerce"
302,12118,Caris Foundation International,HIV Technical Lead,Santé et Professions médicales
303,12128,FONKOZE,Koòdinatè AKSYON pou pwodiksyon riral,Agriculture – Agroalimentaire
304,12114,Caris Foundation International,Digital Media Specialist,Communication et Journalisme
305,12101,MDM Canada,Coordonnateur Technique,"Management/Gestion, Finance, Comptabilité et Commerce"
